漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
119,212,還,還,カン,還元,かんげん,生還,せいかん,返還,へんかん,還元(かんげん),生還(せいかん),返還(へんかん),
120,213,環,環,カン,環状,かんじょう,環境,かんきょう,循環,じゅんかん,環状(かんじょう),環境(かんきょう),循環(じゅんかん),
121,214,艦,艦,カン,艦船,かんせん,艦隊,かんたい,軍艦,ぐんかん,艦船(かんせん),艦隊(かんたい),軍艦(ぐんかん),
122,215,鑑,鑑,カン,鑑賞,かんしょう,鑑定,かんてい,年鑑,ねんかん,鑑賞(かんしょう),鑑定(かんてい),年鑑(ねんかん),
123,216,含,含,ガン,含有,がんゆう,含蓄,がんちく,包含,ほうがん,含有(がんゆう),含蓄(がんちく),包含(ほうがん),
123,217,含,含,ふくむ,含む,ふくむ,,,,,含む(ふくむ),,,
123,218,含,含,ふくめる,含める,ふくめる,,,,,含める(ふくめる),,,
124,219,頑,頑,ガン,頑強,がんきょう,頑健,がんけん,頑固,がんこ,頑強(がんきょう),頑健(がんけん),頑固(がんこ),
125,220,企,企,キ,企画,きかく,企図,きと,企業,きぎょう,企画(きかく),企図(きと),企業(きぎょう),
125,221,企,企,くわだてる,企てる,くわだてる,,,,,企てる(くわだてる),,,
126,222,忌,忌,キ,忌避,きひ,忌中,きちゅう,禁忌,きんき,忌避(きひ),忌中(きちゅう),禁忌(きんき),
126,223,忌,忌,いむ,忌む,いむ,,,,,忌む(いむ),,,
126,224,忌,忌,いまわしい,忌まわしい,いまわしい,,,,,忌まわしい(いまわしい),,,
127,225,奇,奇,キ,奇襲,きしゅう,奇数,きすう,珍奇,ちんき,奇襲(きしゅう),奇数(きすう),珍奇(ちんき),数奇屋(すきや)
128,226,祈(),祈,キ,祈願,きがん,,,,,祈願(きがん),,,
128,227,祈(),祈,いのる,祈る,いのる,,,,,祈る(いのる),,,
